Jurisdiction,Year,Case Count
Illinois,1844,84
Illinois,1839,71
Illinois,1848,68
Illinois,1847,63
Illinois,1838,44
Illinois,1835,35
Illinois,1836,34
Illinois,1837,33
Illinois,1826,27
Illinois,1830,26
Illinois,1825,22
Illinois,1832,21
Illinois,1828,21
Illinois,1834,19
Illinois,1822,16
Illinois,1820,12
Illinois,1827,12
Illinois,1829,11
Illinois,1823,11
Illinois,1831,11
Illinois,1833,10
Illinois,1819,5
Illinois,1824,4
Illinois,1771,1
Illinois,2016,1
Idaho,1985,424
Idaho,1992,363
Idaho,1991,353
Idaho,1989,342
Idaho,1990,333
Idaho,1993,320
Idaho,1984,311
Idaho,1986,305
Idaho,1983,280
Idaho,1994,262
Idaho,1987,261
Idaho,1995,257
Idaho,1988,255
Idaho,1996,247
Idaho,1997,241
Idaho,2014,237
Idaho,1927,233
Idaho,2002,229
Idaho,2000,228
Idaho,2016,224
Idaho,2003,219
Idaho,2009,219
Idaho,1999,217
Idaho,1923,216
Idaho,2010,216
Idaho,2007,214
Idaho,1998,214
Idaho,1922,211
Idaho,2005,209
Idaho,2012,207
Idaho,2008,202
Idaho,1982,202
Idaho,2001,196
Idaho,1929,195
Idaho,2011,194
Idaho,2004,192
Idaho,2013,192
Idaho,1930,190
Idaho,2015,189
Idaho,1913,185
Idaho,1980,184
Idaho,2006,182
Idaho,1979,179
Idaho,1924,178
Idaho,1928,176
Idaho,1921,173
Idaho,1975,170
Idaho,1974,168
Idaho,2017,163
Idaho,1931,159
Idaho,1925,158
Idaho,1912,157
Idaho,1977,155
Idaho,1978,153
Idaho,1911,150
Idaho,1965,144
Idaho,1917,142
Idaho,1908,142
Idaho,2018,139
Idaho,1981,138
Idaho,1926,135
Idaho,1915,132
Idaho,1910,129
Idaho,1976,126
Idaho,1971,124
Idaho,1916,124
Idaho,1972,121
Idaho,1918,119
Idaho,1955,116
Idaho,1968,116
Idaho,1909,116
Idaho,1933,111
Idaho,1963,111
Idaho,1973,110
Idaho,1969,108
Idaho,1956,108
Idaho,1920,106
Idaho,1914,106
Idaho,1953,103
Idaho,1966,103
Idaho,1904,101
Idaho,1906,101
Idaho,1939,100
Idaho,1951,100
Idaho,1932,99
Idaho,1937,98
Idaho,1934,98
Idaho,1905,97
Idaho,1949,95
Idaho,1967,94
Idaho,1938,93
Idaho,1941,92
Idaho,1964,92
Idaho,1954,90
Idaho,1970,90
Idaho,1907,89
Idaho,1919,88
Idaho,2019,86
Idaho,1935,86
Idaho,1962,85
Idaho,1943,82
Idaho,1959,81
Idaho,1958,81
Idaho,1960,81
Idaho,1952,80
Idaho,1895,79
Idaho,1898,79
Idaho,1957,77
Idaho,1900,77
Idaho,1902,77
Idaho,1942,77
Idaho,1899,76
Idaho,1961,76
Idaho,1940,75
Idaho,1897,73
Idaho,1950,72
Idaho,1901,66
Idaho,1936,66
Idaho,1896,58
Idaho,1946,55
Idaho,1945,53
Idaho,1948,53
Idaho,1944,51
Idaho,1894,50
Idaho,1903,49
Idaho,1947,47
Idaho,1892,45
Idaho,1891,44
Idaho,1893,40
Idaho,1886,24
Idaho,1889,22
Idaho,1888,21
Idaho,1887,20
Idaho,1890,20
Idaho,1867,16
Idaho,1871,15
Idaho,1866,14
Idaho,1885,13
Idaho,1878,13
Idaho,1874,13
Idaho,1869,12
Idaho,1884,11
Idaho,1880,10
Idaho,1875,9
Idaho,1876,9
Idaho,1873,9
Idaho,1877,8
Idaho,1870,7
Idaho,1868,7
Idaho,1872,4
Idaho,1882,4
Idaho,1881,4
Idaho,1879,3
Florida,2017,16336
Florida,2018,14338
Florida,2016,8666
Florida,1975,7012
Florida,2019,6537
Florida,1974,6299
Florida,1973,5914
Florida,2000,5801
Florida,1991,5679
Florida,2001,5534
Florida,1990,5487
Florida,1998,5408
Florida,1999,5311
Florida,1992,5133
Florida,1989,5005
Florida,1997,5002
Florida,1987,5002
Florida,1985,4991
Florida,2002,4982
Florida,1996,4961
Florida,1972,4901
Florida,1986,4866
Florida,1995,4865
Florida,1983,4824
Florida,1994,4823
Florida,2006,4820
Florida,1988,4799
Florida,1971,4788
Florida,1984,4762
Florida,1993,4757
Florida,2004,4743
Florida,2005,4732
Florida,2003,4723
Florida,1982,4681
Florida,2012,4629
Florida,1970,4605
Florida,1981,4382
Florida,2007,4356
Florida,2008,4280
Florida,2015,4274
Florida,1969,4161
Florida,2009,4055
Florida,2010,4012
Florida,2011,3970
Florida,1968,3815
Florida,1980,3781
Florida,2013,3741
Florida,2014,3730
Florida,1966,3688
Florida,1967,3660
Florida,1978,3343
Florida,1979,3309
Florida,1965,3229
Florida,1976,3206
Florida,1964,3101
Florida,1977,3056
Florida,1962,2849
Florida,1963,2720
Florida,1961,2297
Florida,1960,2210
Florida,1959,2195
Florida,1958,2073
Florida,1957,1296
Florida,1955,1208
Florida,1954,1199
Florida,1956,1161
Florida,1953,1156
Florida,1931,941
Florida,1933,902
Florida,1936,829
Florida,1935,828
Florida,1939,743
Florida,1934,733
Florida,1938,677
Florida,1940,672
Florida,1930,653
Florida,1932,631
Florida,1937,562
Florida,1929,537
Florida,1941,528
Florida,1928,518
Florida,1942,517
Florida,1947,473
Florida,1927,460
Florida,1943,444
Florida,1948,434
Florida,1946,429
Florida,1926,419
Florida,1945,418
Florida,1925,403
Florida,1944,353
Florida,1919,339
Florida,1920,337
Florida,1921,328
Florida,1903,324
Florida,1914,309
Florida,1952,305
Florida,1924,299
Florida,1922,299
Florida,1911,262
Florida,1923,259
Florida,1916,252
Florida,1913,244
Florida,1918,234
Florida,1912,232
Florida,1917,229
Florida,1908,227
Florida,1904,219
Florida,1897,203
Florida,1915,199
Florida,1909,197
Florida,1907,193
Florida,1910,189
Florida,1905,183
Florida,1906,183
Florida,1902,168
Florida,1901,162
Florida,1898,149
Florida,1899,139
Florida,1895,131
Florida,1894,113
Florida,1893,112
Florida,1900,103
Florida,1896,103
Florida,1889,95
Florida,1886,94
Florida,1884,90
Florida,1882,87
Florida,1887,82
Florida,1892,76
Florida,1891,71
Florida,1890,67
Florida,1883,58
Florida,1869,58
Florida,1880,57
Florida,1951,54
Florida,1885,53
Florida,1888,50
Florida,1878,48
Florida,1881,46
Florida,1879,40
Florida,1855,34
Florida,1868,33
Florida,1848,30
Florida,1860,29
Florida,1847,29
Florida,1875,28
Florida,1872,28
Florida,1853,27
Florida,1876,26
Florida,1867,25
Florida,1877,25
Florida,1849,24
Florida,1858,23
